date,nav,invested_pct,daily_log_ret,stopped_out,peak_nav,holdings
2026-07-02,9990.0,100.0,0.0,False,9990.0,"INCY, SNA, BMY, ABBV, EXE, JNJ, MNST, GILD, EOG, BYD, INGR, KMI, RMD, CF, CMCSA, LH, UGI, NFG"
2026-07-06,9934.073722962245,100.0,-0.0056139547261907,False,9990.0,"INCY, SNA, BMY, ABBV, EXE, JNJ, MNST, GILD, EOG, BYD, INGR, KMI, RMD, CF, CMCSA, LH, UGI, NFG"
2026-07-07,10057.981442807944,100.0,0.0123958547956987,False,10057.981442807944,"INCY, SNA, BMY, ABBV, EXE, JNJ, MNST, GILD, EOG, BYD, INGR, KMI, RMD, CF, CMCSA, LH, UGI, NFG"
2026-07-08,9970.978161284036,100.0,-0.0086878031089567,False,10057.981442807944,"INCY, SNA, BMY, ABBV, EXE, JNJ, MNST, GILD, EOG, BYD, INGR, KMI, RMD, CF, CMCSA, LH, UGI, NFG"
2026-07-09,9938.889837442886,100.0,-0.003223361563873479,False,10057.981442807943,"INCY, SNA, BMY, ABBV, EXE, JNJ, MNST, GILD, EOG, BYD, INGR, KMI, RMD, CF, CMCSA, LH, UGI, NFG"
2026-07-10,9893.503840325237,100.0,-0.004576964040360978,False,10057.981442807943,"INCY, SNA, BMY, ABBV, EXE, JNJ, MNST, GILD, EOG, BYD, INGR, KMI, RMD, CF, CMCSA, LH, UGI, NFG"
2026-07-13,9961.562017108427,100.0,0.0068555243102919805,False,10057.981442807943,"INCY, SNA, BMY, ABBV, EXE, JNJ, MNST, GILD, EOG, BYD, INGR, KMI, RMD, CF, CMCSA, LH, UGI, NFG"
2026-07-14,9879.959424113293,100.0,-0.008225483446852071,False,10057.981442807943,"INCY, SNA, BMY, ABBV, EXE, JNJ, MNST, GILD, EOG, BYD, INGR, KMI, RMD, CF, CMCSA, LH, UGI, NFG"
2026-07-15,9902.661357409439,100.0,0.0022951401143847675,False,10057.981442807943,"INCY, SNA, BMY, ABBV, EXE, JNJ, MNST, GILD, EOG, BYD, INGR, KMI, RMD, CF, CMCSA, LH, UGI, NFG"
2026-07-16,10117.836620929691,100.0,0.02149632337668303,False,10117.836620929691,"INCY, SNA, BMY, ABBV, EXE, JNJ, MNST, GILD, EOG, BYD, INGR, KMI, RMD, CF, CMCSA, LH, UGI, NFG"
2026-07-17,10087.926518327857,100.0,-0.00296055380261826,False,10117.836620929691,"INCY, SNA, BMY, ABBV, EXE, JNJ, MNST, GILD, EOG, BYD, INGR, KMI, RMD, CF, CMCSA, LH, UGI, NFG"
2026-07-20,10053.999598178614,100.0,-0.0033687892646062645,False,10117.836620929691,"INCY, SNA, BMY, ABBV, EXE, JNJ, MNST, GILD, EOG, BYD, INGR, KMI, RMD, CF, CMCSA, LH, UGI, NFG"
2026-07-21,10046.007127134175,100.0,-0.0007952705265132617,False,10117.836620929691,"INCY, SNA, BMY, ABBV, EXE, JNJ, MNST, GILD, EOG, BYD, INGR, KMI, RMD, CF, CMCSA, LH, UGI, NFG"
