date,nav,invested_pct,daily_log_ret,stopped_out,peak_nav,holdings
2026-07-02,9990.0,100.0,0.0,False,9990.0,"INCY, SNA, BMY, ABBV, EXE, JNJ, MNST, GILD, EOG, BYD, INGR, KMI, RMD, CF, CMCSA, LH, UGI, NFG"
2026-07-06,9934.073722962245,100.0,-0.0056139547261907,False,9990.0,"INCY, SNA, BMY, ABBV, EXE, JNJ, MNST, GILD, EOG, BYD, INGR, KMI, RMD, CF, CMCSA, LH, UGI, NFG"
2026-07-07,10057.981442807944,100.0,0.0123958547956987,False,10057.981442807944,"INCY, SNA, BMY, ABBV, EXE, JNJ, MNST, GILD, EOG, BYD, INGR, KMI, RMD, CF, CMCSA, LH, UGI, NFG"
2026-07-08,9970.978161284036,100.0,-0.0086878031089567,False,10057.981442807944,"INCY, SNA, BMY, ABBV, EXE, JNJ, MNST, GILD, EOG, BYD, INGR, KMI, RMD, CF, CMCSA, LH, UGI, NFG"
2026-07-09,9938.889837442886,100.0,-0.0032233615638734,False,10057.981442807944,"INCY, SNA, BMY, ABBV, EXE, JNJ, MNST, GILD, EOG, BYD, INGR, KMI, RMD, CF, CMCSA, LH, UGI, NFG"
2026-07-10,9893.503840325237,100.0,-0.0045769640403609,False,10057.981442807944,"INCY, SNA, BMY, ABBV, EXE, JNJ, MNST, GILD, EOG, BYD, INGR, KMI, RMD, CF, CMCSA, LH, UGI, NFG"
2026-07-13,9961.562017108428,100.0,0.0068555243102919,False,10057.981442807944,"INCY, SNA, BMY, ABBV, EXE, JNJ, MNST, GILD, EOG, BYD, INGR, KMI, RMD, CF, CMCSA, LH, UGI, NFG"
2026-07-14,9879.959424113293,100.0,-0.008225483446852,False,10057.981442807944,"INCY, SNA, BMY, ABBV, EXE, JNJ, MNST, GILD, EOG, BYD, INGR, KMI, RMD, CF, CMCSA, LH, UGI, NFG"
2026-07-15,9902.66135740944,100.0,0.0022951401143847,False,10057.981442807944,"INCY, SNA, BMY, ABBV, EXE, JNJ, MNST, GILD, EOG, BYD, INGR, KMI, RMD, CF, CMCSA, LH, UGI, NFG"
2026-07-16,10117.836620929693,100.0,0.021496323376683,False,10117.836620929693,"INCY, SNA, BMY, ABBV, EXE, JNJ, MNST, GILD, EOG, BYD, INGR, KMI, RMD, CF, CMCSA, LH, UGI, NFG"
2026-07-17,10087.926518327857,100.0,-0.0029605538026182,False,10117.836620929693,"INCY, SNA, BMY, ABBV, EXE, JNJ, MNST, GILD, EOG, BYD, INGR, KMI, RMD, CF, CMCSA, LH, UGI, NFG"
2026-07-20,10053.999598178614,100.0,-0.0033687892646062,False,10117.836620929693,"INCY, SNA, BMY, ABBV, EXE, JNJ, MNST, GILD, EOG, BYD, INGR, KMI, RMD, CF, CMCSA, LH, UGI, NFG"
2026-07-21,10046.007127134177,100.0,-0.0007952705265132,False,10117.836620929693,"INCY, SNA, BMY, ABBV, EXE, JNJ, MNST, GILD, EOG, BYD, INGR, KMI, RMD, CF, CMCSA, LH, UGI, NFG"
2026-07-22,10113.86686570738,100.0,0.0067321844267248,False,10117.836620929693,"INCY, SNA, BMY, ABBV, EXE, JNJ, MNST, GILD, EOG, BYD, INGR, KMI, RMD, CF, CMCSA, LH, UGI, NFG"
2026-07-23,10098.824236377528,100.0,-0.0014884343733394,False,10117.836620929693,"INCY, SNA, BMY, ABBV, EXE, JNJ, MNST, GILD, EOG, BYD, INGR, KMI, RMD, CF, CMCSA, LH, UGI, NFG"
2026-07-24,10148.565336427284,100.0,0.0049133445017517,False,10148.565336427284,"INCY, SNA, BMY, ABBV, EXE, JNJ, MNST, GILD, EOG, BYD, INGR, KMI, RMD, CF, CMCSA, LH, UGI, NFG"
2026-07-27,10140.456493059197,100.0,-0.0007993331436072,False,10148.565336427284,"INCY, SNA, BMY, ABBV, EXE, JNJ, MNST, GILD, EOG, BYD, INGR, KMI, RMD, CF, CMCSA, LH, UGI, NFG"
2026-07-28,10363.907271409204,100.0,0.0217962992890914,False,10363.907271409204,"INCY, SNA, BMY, ABBV, EXE, JNJ, MNST, GILD, EOG, BYD, INGR, KMI, RMD, CF, CMCSA, LH, UGI, NFG"
2026-07-29,10397.695622421325,100.0,0.0032548913506608,False,10397.695622421325,"INCY, SNA, BMY, ABBV, EXE, JNJ, MNST, GILD, EOG, BYD, INGR, KMI, RMD, CF, CMCSA, LH, UGI, NFG"
2026-07-30,10224.527116110705,100.0,-0.016794753782563,False,10397.695622421325,"INCY, SNA, BMY, ABBV, EXE, JNJ, MNST, GILD, EOG, BYD, INGR, KMI, RMD, CF, CMCSA, LH, UGI, NFG"
2026-07-31,10260.920371425083,100.0,0.0035530874903783,False,10397.695622421325,"INCY, SNA, BMY, ABBV, EXE, JNJ, MNST, GILD, EOG, BYD, INGR, KMI, RMD, CF, CMCSA, LH, UGI, NFG"
2026-08-03,10250.659451053662,100.0,-0.0010005003335832,False,10397.695622421325,"EOG, CNX, INGR, VZ, CMCSA, CF, MLI, BMY, CVX, SNA, EXE, KMI, XOM, GGG, DLB, T, RS, UGI"
2026-08-04,10299.822850079556,100.0,0.004784655863219603,False,10397.695622421325,"EOG, CNX, INGR, VZ, CMCSA, CF, MLI, BMY, CVX, SNA, EXE, KMI, XOM, GGG, DLB, T, RS, UGI"
